Nome;Squadra;Media FantaVoto 23/24 (previsione);Quota;Rapporto FantaVoto/Quota;Ruolo;Cluster
Di Francesco F.;Lecce;6.1743035;8;0.771787941;A;Malus taker
Raspadori;Napoli;6.3491416;10;0.63491416;A;Malus taker
Bonazzoli;Salernitana;6.6414075;7;0.948772499;A;Malus taker
Pinamonti;Sassuolo;6.6795945;13;0.513814963;A;Malus taker
Success;Udinese;6.188251;7;0.88403586;A;Malus taker
Solbakken;Roma;6.3934937;8;0.799186707;A;Malus taker
Piccoli;Empoli;6.6274104;7;0.946772916;A;Malus taker
Djuric;Verona;6.289654;9;0.69885042;A;Malus taker
Botheim;Salernitana;6.278344;8;0.784793019;A;Malus taker
Defrel;Sassuolo;6.215041;9;0.690560129;A;Malus taker
Origi;Milan;6.46759;3;2.155863285;A;Malus taker
Soule';Juventus;6.6154184;4;1.653854609;A;Malus taker
Ngonge;Verona;6.432709;12;0.536059101;A;Malus taker
Belotti;Roma;6.2860746;9;0.698452738;A;Malus taker
Pellegri;Torino;6.4223995;8;0.80279994;A;Malus taker
Shomurodov;Spezia;6.287025;13;0.483617306;A;Malus taker
Kallon;Verona;6.425889;2;3.212944508;A;Malus taker
Alvarez A.;Sassuolo;6.697274;5;1.339454842;A;Malus taker
Lasagna;Verona;6.2314415;5;1.2462883;A;Malus taker
Henry;Verona;6.1336446;12;0.511137048;A;Malus taker
Seck;Torino;6.440186;3;2.146728675;A;Malus taker
Valencia D.;Salernitana;6.249047;1;6.249046803;A;Malus taker
Braaf;Verona;6.143935;1;6.143935204;A;Malus taker
Raimondo;Bologna;6.2940793;1;6.294079304;A;Malus taker
Cancellieri;Lazio;6.1772065;5;1.235441303;A;Malus taker
Voelkerling Persson;Lecce;6.4406753;1;6.440675259;A;Malus taker
Vivaldo;Udinese;6.373566;1;6.373566151;A;Malus taker
