Ruolo;Nome;Squadra;Anno;Media voto;Media FantaVoto;Quota iniziale;FantaVoto/Quota iniziale;Voto/Quota iniziale;Gol fatti;Gol subiti;Rigori parati;Rigori calciati;Rigori segnati;Rigori sbagliati;Assist;Ammonizioni;Espulsioni;Autogol;Partite a voto;Quota attuale;Differenza tra quote;Id
P;Seculin;Chievo;01/01/2016;6.5;5.83;1;5.83;6.5;0;2;0;0;0;0;0;0;0;0;3;3;-2;97
P;Sepe;Fiorentina;01/01/2016;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;159
A;Siligardi;Verona;01/01/2016;5.85;6.08;9;0.675555556;0.65;2;0;0;0;0;0;0;1;0;0;28;7;2;637
D;Silvestre;Sampdoria;01/01/2016;5.6;5.46;7;0.78;0.8;0;0;0;0;0;0;0;7;0;0;25;4;3;492
D;Simic S;Milan;01/01/2016;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;362
P;Skorupski;Empoli;01/01/2016;6.16;4.74;9;0.526666667;0.684444444;0;43;0;0;0;0;0;2;0;0;31;9;0;133
D;Skriniar;Sampdoria;01/01/2016;5.25;4.75;4;1.1875;1.3125;0;0;0;0;0;0;0;1;1;0;3;2;2;798
C;Soddimo;Frosinone;01/01/2016;5.98;5.98;8;0.7475;0.7475;1;0;0;0;0;0;2;9;1;0;28;6;2;210
P;Sorrentino;Palermo;01/01/2016;6.41;4.74;10;0.474;0.641;0;58;0;0;0;0;0;1;0;0;35;10;0;413
D;Souprayen;Verona;01/01/2016;5.75;5.58;2;2.79;2.875;0;0;0;0;0;0;0;5;1;0;20;2;0;622
D;Spolli;Chievo;01/01/2016;5.82;5.57;6;0.928333333;0.97;0;0;0;0;0;0;0;5;1;0;14;4;2;78
P;Sportiello;Atalanta;01/01/2016;6.24;5.26;10;0.526;0.624;0;43;3;0;0;0;0;2;0;0;36;12;-2;4
D;Stendardo;Atalanta;01/01/2016;5.92;6;6;1;0.986666667;1;0;0;0;0;0;0;3;1;0;15;3;3;17
P;Stojanovic D.;Bologna;01/01/2016;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;43
D;Strinic;Napoli;01/01/2016;5.88;5.88;6;0.98;0.98;0;0;0;0;0;0;0;0;0;0;5;1;5;395
C;Strootman;Roma;01/01/2016;6.33;6.5;9;0.722222222;0.703333333;0;0;0;0;0;0;1;1;0;0;5;4;5;470
D;Struna;Palermo;01/01/2016;5.39;5.25;4;1.3125;1.3475;1;0;0;0;0;0;0;10;1;0;22;3;1;424
C;Sturaro;Juventus;01/01/2016;5.82;5.82;5;1.164;1.164;1;0;0;0;0;0;0;6;0;0;19;3;2;305
D;Suagher;Carpi;01/01/2016;6.06;5.62;2;2.81;3.03;0;0;0;0;0;0;0;8;0;0;9;3;-1;18
C;Suso;Genoa;01/01/2016;6.15;7;5;1.4;1.23;6;0;0;0;0;0;1;4;0;0;20;12;-7;375
P;Szczesny;Roma;01/01/2016;6.21;5.19;6;0.865;1.035;0;34;0;0;0;0;0;1;0;0;34;12;-6;453
C;Tachtsidis;Genoa;01/01/2016;5.97;6.24;4;1.56;1.4925;2;0;0;0;0;0;2;2;0;1;24;8;-4;241
C;Taider;Bologna;01/01/2016;5.8;5.73;6;0.955;0.966666667;0;0;0;0;0;0;0;4;0;0;29;7;-1;275
D;Tambe';Genoa;01/01/2016;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;231
P;Tatarusanu;Fiorentina;01/01/2016;6.15;5.07;8;0.63375;0.76875;0;39;0;0;0;0;0;2;0;0;37;11;-3;160
D;Telles;Inter;01/01/2016;5.78;5.65;8;0.70625;0.7225;0;0;0;0;0;0;1;5;1;0;21;4;4;716
A;Tello C.;Fiorentina;01/01/2016;6;6.63;13;0.51;0.461538462;2;0;0;0;0;0;4;1;0;0;15;14;-1;794
D;Terranova;Sassuolo;01/01/2016;5.9;5.8;3;1.933333333;1.966666667;0;0;0;0;0;0;0;1;0;0;6;1;2;522
A;Thereau;Udinese;01/01/2016;6.07;7.04;19;0.370526316;0.319473684;11;0;0;0;0;0;3;2;1;0;36;21;-2;606
C;Tino Costa;Fiorentina;01/01/2016;5.88;5.71;13;0.439230769;0.452307692;0;0;0;0;0;0;0;7;0;0;19;5;8;242
D;Toloi;Atalanta;01/01/2016;5.85;5.73;7;0.818571429;0.835714286;1;0;0;0;0;0;0;6;1;1;24;5;2;695
D;Tomovic;Fiorentina;01/01/2016;5.72;5.6;5;1.12;1.144;0;0;0;0;0;0;0;5;0;0;24;3;2;169
D;Tonelli;Empoli;01/01/2016;6;6.04;11;0.549090909;0.545454545;2;0;0;0;0;0;0;8;1;0;26;7;4;144
C;Tonev;Frosinone;01/01/2016;5.74;5.74;7;0.82;0.82;0;0;0;0;0;0;1;2;0;0;22;4;3;700
A;Toni;Verona;01/01/2016;5.96;6.54;28;0.233571429;0.212857143;3;0;0;4;3;1;0;3;0;0;23;18;10;638
D;Torosidis;Roma;01/01/2016;5.5;5.43;4;1.3575;1.375;0;0;0;0;0;0;0;2;0;0;11;1;3;461
A;Totti;Roma;01/01/2016;6.54;7.92;20;0.396;0.327;4;0;0;1;1;0;3;3;0;0;13;15;5;480
A;Trajkovski;Palermo;01/01/2016;5.68;5.97;10;0.597;0.568;3;0;0;0;0;0;1;2;0;0;32;8;2;448
A;Trotta;Sassuolo;01/01/2016;5.6;6.2;15;0.413333333;0.373333333;1;0;0;0;0;0;0;0;0;0;8;10;5;789
C;Ucan;Roma;01/01/2016;6.25;6.25;4;1.5625;1.5625;0;0;0;0;0;0;0;0;0;0;3;1;3;471
C;Vainqueur;Roma;01/01/2016;6.04;6.08;6;1.013333333;1.006666667;0;0;0;0;0;0;2;3;0;0;16;4;2;705
C;Valdifiori;Napoli;01/01/2016;5.42;5.17;12;0.430833333;0.451666667;0;0;0;0;0;0;0;3;0;0;6;2;10;405
A;Vazquez;Palermo;01/01/2016;6.21;6.83;22;0.310454545;0.282272727;7;0;0;1;1;0;4;11;0;0;36;23;-1;449
C;Vecino;Fiorentina;01/01/2016;6.14;6.24;8;0.78;0.7675;2;0;0;0;0;0;1;8;0;0;30;9;-1;181
C;Verdi;Carpi;01/01/2016;6.5;8.2;3;2.733333333;2.166666667;1;0;0;2;2;0;0;1;0;0;8;7;-4;376
D;Vitiello;Palermo;01/01/2016;5.56;5;5;1;1.112;0;0;0;0;0;0;0;3;1;1;10;2;3;427
C;Vives;Torino;01/01/2016;5.89;5.84;4;1.46;1.4725;1;0;0;0;0;0;1;9;1;0;33;7;-3;563
C;Viviani;Verona;01/01/2016;6.11;6.74;9;0.748888889;0.678888889;3;0;0;0;0;0;6;4;1;0;19;10;-1;631
P;Viviano;Sampdoria;01/01/2016;6.32;5.11;12;0.425833333;0.526666667;0;56;4;0;0;0;0;2;0;0;37;15;-3;484
