Ruolo;Nome;Squadra;Anno;Media voto;Media FantaVoto;Quota iniziale;FantaVoto/Quota iniziale;Voto/Quota iniziale;Gol fatti;Gol subiti;Rigori parati;Rigori calciati;Rigori segnati;Rigori sbagliati;Assist;Ammonizioni;Espulsioni;Autogol;Partite a voto;Quota attuale;Differenza tra quote;Id
P;Marson;Palermo;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;821
D;Adjapong;Sassuolo;01/01/2017;5.75;6;1;6;5.75;1;0;0;0;0;0;0;3;0;0;9;2;-1;824
C;Locatelli;Milan;01/01/2017;6;6.1;1;6.1;6;2;0;0;0;0;0;0;7;0;0;25;5;-4;827
P;Mazzini;Atalanta;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1846
D;Caldara;Atalanta;01/01/2017;6.28;6.92;1;6.92;6.28;7;0;0;0;0;0;0;4;0;0;30;13;-12;1847
C;Kessie';Atalanta;01/01/2017;6.28;6.77;8;0.84625;0.785;4;0;0;2;2;0;1;5;2;0;30;12;-4;1850
C;Spinazzola;Atalanta;01/01/2017;6.28;6.32;6;1.053333333;1.046666667;0;0;0;0;0;0;4;2;0;1;30;11;-5;1852
C;Di Francesco F.;Bologna;01/01/2017;6.15;6.88;7;0.982857143;0.878571429;4;0;0;0;0;0;3;3;1;0;24;10;-3;1857
C;Krejci;Bologna;01/01/2017;5.86;6.11;11;0.555454545;0.532727273;0;0;0;1;1;0;7;2;0;0;37;9;2;1858
C;Nagy;Bologna;01/01/2017;5.88;5.79;6;0.965;0.98;0;0;0;0;0;0;0;4;0;0;25;4;2;1859
P;Colombo R.;Cagliari;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1862
P;Storari;Milan;01/01/2017;5.9;3.4;8;0.425;0.7375;0;36;0;0;0;0;0;1;1;0;15;1;7;1863
D;Bruno Alves;Cagliari;01/01/2017;5.68;5.67;6;0.945;0.946666667;1;0;0;0;0;0;0;5;1;0;36;5;1;1864
D;Capuano;Cagliari;01/01/2017;5.4;5.6;2;2.8;2.7;1;0;0;0;0;0;0;0;1;0;12;1;1;1865
D;Ceppitelli;Cagliari;01/01/2017;5.55;5.32;5;1.064;1.11;0;0;0;0;0;0;0;5;0;1;19;2;3;1866
D;Murru;Cagliari;01/01/2017;5.73;5.71;6;0.951666667;0.955;0;0;0;0;0;0;1;3;0;0;26;6;0;1868
D;Pisacane;Cagliari;01/01/2017;5.81;5.83;2;2.915;2.905;1;0;0;0;0;0;1;7;0;0;29;7;-5;1869
C;Barella;Cagliari;01/01/2017;5.88;5.73;3;1.91;1.96;0;0;0;0;0;0;1;9;1;0;28;6;-3;1870
C;Deiola;Cagliari;01/01/2017;5.67;5.33;3;1.776666667;1.89;0;0;0;0;0;0;0;2;0;0;5;1;2;1871
C;Dessena;Cagliari;01/01/2017;5.69;5.88;6;0.98;0.948333333;2;0;0;0;0;0;0;4;1;0;18;3;3;1872
C;Di Gennaro D;Cagliari;01/01/2017;6.02;6.32;7;0.902857143;0.86;2;0;0;0;0;0;3;4;1;0;20;6;1;1873
C;Joao Pedro;Cagliari;01/01/2017;6;6.73;11;0.611818182;0.545454545;6;0;0;2;1;1;1;4;1;0;22;12;-1;1874
A;Farias;Cagliari;01/01/2017;6;7.05;15;0.47;0.4;5;0;0;2;2;0;2;4;0;0;20;13;2;1879
A;Melchiorri;Cagliari;01/01/2017;6;6.85;6;1.141666667;1;3;0;0;0;0;0;0;1;0;0;10;3;3;1881
A;Sau;Cagliari;01/01/2017;5.91;6.54;11;0.594545455;0.537272727;7;0;0;0;0;0;3;5;0;0;34;14;-3;1882
P;Cordaz;Crotone;01/01/2017;6.39;5;6;0.833333333;1.065;0;54;2;0;0;0;0;2;1;0;36;13;-7;1889
P;Festa;Crotone;01/01/2017;6.75;4.5;1;4.5;6.75;0;4;0;0;0;0;0;1;0;0;3;1;0;1890
D;Ceccherini;Crotone;01/01/2017;5.93;5.89;5;1.178;1.186;1;0;0;0;0;0;0;9;0;0;35;9;-4;1891
D;Claiton;Crotone;01/01/2017;5.39;5.28;4;1.32;1.3475;0;0;0;0;0;0;0;2;0;0;10;1;3;1892
D;Ferrari G.;Crotone;01/01/2017;5.92;6.08;5;1.216;1.184;3;0;0;0;0;0;1;8;0;0;37;11;-6;1895
D;Martella;Crotone;01/01/2017;5.76;5.69;6;0.948333333;0.96;0;0;0;0;0;0;0;4;0;0;29;8;-2;1896
D;Sampirisi;Crotone;01/01/2017;5.8;5.98;4;1.495;1.45;1;0;0;0;0;0;1;1;0;0;23;5;-1;1898
C;Barberis;Crotone;01/01/2017;6;6.06;2;3.03;3;0;0;0;0;0;0;3;3;0;0;26;8;-6;1901
A;Nalini;Crotone;01/01/2017;6.21;6.71;3;2.236666667;2.07;2;0;0;0;0;0;2;2;0;0;17;8;-5;1906
A;Palladino;Genoa;01/01/2017;5.81;5.87;8;0.73375;0.72625;1;0;0;2;1;1;2;6;0;0;31;8;0;1909
D;Bellusci;Empoli;01/01/2017;5.73;5.59;5;1.118;1.146;1;0;0;0;0;0;0;15;0;0;33;5;0;1912
C;Matheus Pereira;Juventus;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1913
C;Tello;Empoli;01/01/2017;5.53;5.37;5;1.074;1.106;0;0;0;0;0;0;0;6;0;0;18;1;4;1915
P;Dragowski;Fiorentina;01/01/2017;6;4;1;4;6;0;2;0;0;0;0;0;0;0;0;1;1;0;1917
P;Zima L.;Genoa;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1921
C;Ocampos;Milan;01/01/2017;6.05;6.39;14;0.456428571;0.432142857;2;0;0;1;1;0;1;5;0;0;26;9;5;1923
D;Yao;Inter;01/01/2017;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1928
C;Banega;Inter;01/01/2017;5.96;6.92;14;0.494285714;0.425714286;6;0;0;0;0;0;7;2;1;0;28;13;1;1929
D;Benatia;Juventus;01/01/2017;6.2;6.3;12;0.525;0.516666667;1;0;0;0;0;0;0;3;0;0;15;8;4;1931
D;Dani Alves;Juventus;01/01/2017;6;6.28;12;0.523333333;0.5;2;0;0;0;0;0;1;5;0;0;19;7;5;1932
C;Mandragora;Juventus;01/01/2017;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1933
P;Strakosha;Lazio;01/01/2017;6.05;4.79;1;4.79;6.05;0;26;0;0;0;0;0;1;0;0;21;5;-4;1934
P;Vargic;Lazio;01/01/2017;5.5;2.5;1;2.5;5.5;0;3;0;0;0;0;0;0;0;0;1;1;0;1935
D;Vangioni;Milan;01/01/2017;5.79;5.62;3;1.873333333;1.93;0;0;0;0;0;0;0;4;0;0;15;4;-1;1938
A;Lapadula;Milan;01/01/2017;6.13;7.2;17;0.423529412;0.360588235;6;0;0;2;2;0;2;3;0;0;27;15;2;1939
P;Fulignati;Palermo;01/01/2017;6.06;4.5;1;4.5;6.06;0;14;0;0;0;0;0;0;0;0;9;5;-4;1941
C;Embalo;Palermo;01/01/2017;5.5;5.6;9;0.622222222;0.611111111;0;0;0;0;0;0;1;0;0;0;12;2;7;1942
A;Nestorovski;Palermo;01/01/2017;5.85;6.73;11;0.611818182;0.531818182;10;0;0;1;1;0;2;5;0;0;37;12;-1;1943
P;Aldegani;Pescara;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1945
P;Fiorillo;Pescara;01/01/2017;6.06;4.39;1;4.39;6.06;0;15;0;0;0;0;0;0;0;0;9;4;-3;1947
D;Campagnaro;Pescara;01/01/2017;5.75;5.75;5;1.15;1.15;2;0;0;0;0;0;0;8;0;1;19;4;1;1948
D;Fornasier;Pescara;01/01/2017;5.55;5.45;4;1.3625;1.3875;0;0;0;0;0;0;0;4;0;0;22;3;1;1949
D;Vitturini;Pescara;01/01/2017;5.67;5.67;1;5.67;5.67;0;0;0;0;0;0;0;0;0;0;3;1;0;1951
D;Zampano;Pescara;01/01/2017;5.85;5.97;6;0.995;0.975;0;0;0;0;0;0;5;2;0;0;34;8;-2;1952
C;Bruno;Pescara;01/01/2017;5.67;5.47;2;2.735;2.835;0;0;0;0;0;0;0;6;0;0;15;3;-1;1954
C;Memushaj;Pescara;01/01/2017;5.82;5.75;11;0.522727273;0.529090909;1;0;0;2;0;2;2;3;0;0;36;8;3;1955
C;Mitrita;Pescara;01/01/2017;5.73;6.03;2;3.015;2.865;1;0;0;0;0;0;2;1;0;0;15;5;-3;1956
A;Caprari;Pescara;01/01/2017;5.9;6.44;15;0.429333333;0.393333333;8;0;0;3;1;2;2;8;0;0;35;13;2;1958
P;Alisson;Roma;01/01/2017;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1964
C;Gerson;Roma;01/01/2017;5;4.75;8;0.59375;0.625;0;0;0;0;0;0;0;1;0;0;4;1;7;1967
C;Torreira;Sampdoria;01/01/2017;6.19;6.09;3;2.03;2.063333333;0;0;0;0;0;0;0;7;0;0;35;9;-6;1972
A;Budimir;Sampdoria;01/01/2017;5.81;5.81;10;0.581;0.581;0;0;0;0;0;0;0;0;0;0;11;3;7;1973
A;Schick;Sampdoria;01/01/2017;6.24;7.45;3;2.483333333;2.08;11;0;0;0;0;0;3;2;0;0;32;17;-14;1974
C;Mazzitelli;Sassuolo;01/01/2017;5.97;6.03;1;6.03;5.97;1;0;0;0;0;0;2;8;0;0;17;4;-3;1976
C;Sensi;Sassuolo;01/01/2017;6.22;6.28;5;1.256;1.244;1;0;0;0;0;0;0;4;0;0;16;6;-1;1978
D;Barreca;Torino;01/01/2017;5.98;6.02;1;6.02;5.98;0;0;0;0;0;0;2;2;0;0;28;7;-6;1979
A;Boye';Torino;01/01/2017;5.94;6.04;3;2.013333333;1.98;1;0;0;0;0;0;2;5;0;0;30;8;-5;1981
D;Angella;Udinese;01/01/2017;5.69;5.65;4;1.4125;1.4225;1;0;0;0;0;0;0;3;0;1;14;5;-1;1984
C;Fofana;Udinese;01/01/2017;6.23;6.89;6;1.148333333;1.038333333;5;0;0;0;0;0;1;3;0;0;22;9;-3;1986
C;Jankto;Udinese;01/01/2017;6.16;6.8;3;2.266666667;2.053333333;5;0;0;0;0;0;4;6;0;0;29;10;-7;1987
A;Ewandro;Udinese;01/01/2017;5.83;5.83;3;1.943333333;1.943333333;0;0;0;0;0;0;0;0;0;0;5;2;1;1988
C;Djuricic;Sampdoria;01/01/2017;5.81;5.77;3;1.923333333;1.936666667;0;0;0;0;0;0;1;4;0;0;19;4;-1;1995
C;De Paul;Udinese;01/01/2017;5.88;6.14;8;0.7675;0.735;4;0;0;0;0;0;1;7;1;0;34;9;-1;1996
A;Simy;Crotone;01/01/2017;5.67;6.27;7;0.895714286;0.81;3;0;0;0;0;0;0;0;0;0;21;6;1;1997
A;Pjaca;Juventus;01/01/2017;5.72;5.67;17;0.333529412;0.336470588;0;0;0;0;0;0;0;1;0;0;14;5;12;1998
D;Lukaku J.;Lazio;01/01/2017;6.1;6.1;5;1.22;1.22;0;0;0;0;0;0;1;2;0;0;16;6;-1;1999
A;Chiesa;Fiorentina;01/01/2017;6.14;6.52;1;6.52;6.14;3;0;0;0;0;0;2;3;1;0;27;7;-6;2002
C;Murgia;Lazio;01/01/2017;6;6.61;1;6.61;6;2;0;0;0;0;0;0;1;0;0;14;4;-3;2003
D;Rajkovic;Palermo;01/01/2017;5.5;5.25;4;1.3125;1.375;0;0;0;0;0;0;0;0;1;0;4;1;3;2005
D;Lirola;Sassuolo;01/01/2017;5.81;5.88;3;1.96;1.936666667;0;0;0;0;0;0;3;3;0;0;22;6;-3;2006
D;Wallace;Lazio;01/01/2017;5.71;5.69;8;0.71125;0.71375;1;0;0;0;0;0;0;3;0;1;25;5;3;2007
C;Linetty;Sampdoria;01/01/2017;5.94;6.07;7;0.867142857;0.848571429;1;0;0;0;0;0;4;5;0;0;35;10;-3;2008
C;Lukic;Torino;01/01/2017;5.75;5.5;4;1.375;1.4375;0;0;0;0;0;0;0;6;0;0;14;1;3;2009
A;Sallai;Palermo;01/01/2017;5.31;5.33;4;1.3325;1.3275;1;0;0;0;0;0;0;3;1;0;21;2;2;2010
C;Miguel Veloso;Genoa;01/01/2017;5.93;5.83;10;0.583;0.593;0;0;0;0;0;0;2;7;1;0;23;7;3;2011
A;Milik;Napoli;01/01/2017;6.25;7.7;23;0.334782609;0.27173913;5;0;0;0;0;0;0;1;0;0;17;13;10;2012
A;Ricci F.;Sassuolo;01/01/2017;5.78;6;6;1;0.963333333;1;0;0;1;1;0;0;4;0;0;24;3;3;2013
C;Rohden;Crotone;01/01/2017;5.85;6;5;1.2;1.17;1;0;0;0;0;0;4;4;0;0;34;9;-4;2014
D;Letschert;Sassuolo;01/01/2017;5.5;5.28;6;0.88;0.916666667;0;0;0;0;0;0;0;2;1;0;9;2;4;2015
D;Fazio;Roma;01/01/2017;6.11;6.26;8;0.7825;0.76375;2;0;0;0;0;0;1;3;0;0;37;13;-5;2016
A;Hagi;Fiorentina;01/01/2017;6.25;6;1;6;6.25;0;0;0;0;0;0;0;1;0;0;2;1;0;2032
D;Miangue;Cagliari;01/01/2017;5.9;5.8;1;5.8;5.9;0;0;0;0;0;0;0;1;0;0;7;2;-1;2037
A;Lombardi;Lazio;01/01/2017;5.95;5.91;2;2.955;2.975;1;0;0;0;0;0;0;4;0;1;18;2;0;2040
A;Lo Faso;Palermo;01/01/2017;5.75;5.75;1;5.75;5.75;0;0;0;0;0;0;0;0;0;0;10;1;0;2048
D;Aleesami;Palermo;01/01/2017;5.73;5.79;5;1.158;1.146;1;0;0;0;0;0;2;6;0;0;31;6;-1;2051
D;Gomez G;Milan;01/01/2017;5.73;5.58;8;0.6975;0.71625;0;0;0;0;0;0;0;4;0;0;18;3;5;2052
C;Cabezas;Atalanta;01/01/2017;6;6;6;1;1;0;0;0;0;0;0;0;0;0;0;1;1;5;2054
D;Vermaelen;Roma;01/01/2017;5.5;5.4;9;0.6;0.611111111;0;0;0;0;0;0;0;1;0;0;9;1;8;2055
C;Gustafson;Torino;01/01/2017;5.6;5.5;4;1.375;1.4;0;0;0;0;0;0;0;1;0;0;5;2;2;2057
C;Sanchez C;Fiorentina;01/01/2017;5.77;5.77;5;1.154;1.154;1;0;0;0;0;0;0;6;0;0;31;5;0;2058
D;Milic;Fiorentina;01/01/2017;5.75;5.81;4;1.4525;1.4375;0;0;0;0;0;0;3;4;0;0;17;5;-1;2060
A;Simeone;Genoa;01/01/2017;5.9;6.83;10;0.683;0.59;11;0;0;2;1;1;1;3;0;0;35;12;-2;2061
D;Bastos;Lazio;01/01/2017;5.7;5.4;6;0.9;0.95;0;0;0;0;0;0;0;4;1;0;11;2;4;2062
C;Jose' Sosa;Milan;01/01/2017;5.82;5.62;10;0.562;0.582;0;0;0;0;0;0;1;5;2;0;18;4;6;2063
D;Veseli;Empoli;01/01/2017;5.56;5.59;4;1.3975;1.39;0;0;0;0;0;0;2;3;0;0;17;3;1;2064
C;Praet;Sampdoria;01/01/2017;5.87;5.94;12;0.495;0.489166667;1;0;0;0;0;0;1;4;0;0;32;9;3;2065
C;Muric R.;Pescara;01/01/2017;6;6.75;5;1.35;1.2;1;0;0;0;0;0;0;0;0;0;5;5;0;2066
D;Salcedo;Fiorentina;01/01/2017;5.56;5.41;6;0.901666667;0.926666667;0;0;0;0;0;0;1;7;0;0;18;2;4;2067
A;Bahebeck;Pescara;01/01/2017;6.04;7.04;9;0.782222222;0.671111111;4;0;0;0;0;0;1;0;0;0;15;9;0;2068
D;Dussenne;Crotone;01/01/2017;5.38;5.19;4;1.2975;1.345;0;0;0;0;0;0;0;1;1;0;8;1;3;2071
C;Bastien;Chievo;01/01/2017;5.62;5.88;5;1.176;1.124;1;0;0;0;0;0;0;0;0;0;12;5;0;2072
A;Ragusa;Sassuolo;01/01/2017;5.84;6.36;8;0.795;0.73;4;0;0;0;0;0;2;5;0;0;25;7;1;2073
C;Aquilani;Sassuolo;01/01/2017;5.74;5.78;9;0.642222222;0.637777778;1;0;0;0;0;0;1;4;1;0;25;6;3;2074
C;Cristoforo;Fiorentina;01/01/2017;5.79;5.79;4;1.4475;1.4475;0;0;0;0;0;0;0;1;0;0;19;3;1;2075
C;Rog;Napoli;01/01/2017;6.05;5.86;8;0.7325;0.75625;0;0;0;0;0;0;0;4;0;0;15;5;3;2076
C;Pasalic;Milan;01/01/2017;5.98;6.57;7;0.938571429;0.854285714;5;0;0;0;0;0;1;5;0;0;24;10;-3;2077
C;Bruno Henrique;Palermo;01/01/2017;5.77;5.81;8;0.72625;0.72125;1;0;0;0;0;0;2;7;0;0;33;8;0;2079
D;Amuzie;Sampdoria;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2080
C;Kums;Udinese;01/01/2017;5.79;5.77;8;0.72125;0.72375;0;0;0;0;0;0;1;3;0;0;29;6;2;2081
A;Barbosa;Inter;01/01/2017;6.07;6.36;18;0.353333333;0.337222222;1;0;0;0;0;0;0;3;0;0;9;8;10;2082
D;Biraschi;Genoa;01/01/2017;6;5.92;3;1.973333333;2;0;0;0;0;0;0;0;2;0;0;7;4;-1;2083
P;Hart;Torino;01/01/2017;6.07;4.32;11;0.392727273;0.551818182;0;62;0;0;0;0;0;2;0;0;36;6;5;2084
A;Luis Alberto;Lazio;01/01/2017;5.88;6.5;13;0.5;0.452307692;1;0;0;0;0;0;2;0;0;0;9;6;7;2085
A;Iemmello;Sassuolo;01/01/2017;6;7.21;7;1.03;0.857142857;4;0;0;1;1;0;0;1;0;0;17;8;-1;2086
D;Olivera M.;Fiorentina;01/01/2017;5.73;5.63;8;0.70375;0.71625;0;0;0;0;0;0;0;4;0;0;18;4;4;2087
A;Pesic;Atalanta;01/01/2017;5.83;5.83;5;1.166;1.166;0;0;0;0;0;0;0;0;0;0;6;1;4;2089
D;Orban L;Genoa;01/01/2017;5.33;4.78;5;0.956;1.066;0;0;0;0;0;0;0;4;1;1;11;1;4;2090
P;Plizzari;Milan;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2091
P;Coppola D;Torino;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2092
P;Cucchietti;Torino;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2096
A;Kean;Juventus;01/01/2017;7;10;1;10;7;1;0;0;0;0;0;0;0;0;0;3;3;-2;2097
C;Okwonkwo;Bologna;01/01/2017;5.75;5.83;1;5.83;5.75;0;0;0;0;0;0;1;1;0;0;9;3;-2;2100
A;Pellegri;Genoa;01/01/2017;7;10;1;10;7;1;0;0;0;0;0;0;0;0;0;3;1;0;2103
D;Bereszynski;Sampdoria;01/01/2017;5.75;5.79;4;1.4475;1.4375;0;0;0;0;0;0;1;1;0;0;13;5;-1;2104
C;Beghetto;Genoa;01/01/2017;5.67;5.67;3;1.89;1.89;0;0;0;0;0;0;0;0;0;0;3;1;2;2105
C;Morosini;Genoa;01/01/2017;5.5;5.5;4;1.375;1.375;0;0;0;0;0;0;0;0;0;0;4;1;3;2106
D;Carlao;Torino;01/01/2017;5.5;5.38;3;1.793333333;1.833333333;0;0;0;0;0;0;0;1;0;0;4;1;2;2109
A;Stefan Silva;Palermo;01/01/2017;5.5;5.5;4;1.375;1.375;0;0;0;0;0;0;0;0;0;0;1;1;3;2110
C;Taarabt;Genoa;01/01/2017;5.8;6;9;0.666666667;0.644444444;0;0;0;0;0;0;1;0;0;0;6;5;4;2111
A;Thiam;Empoli;01/01/2017;5.82;6.07;4;1.5175;1.455;1;0;0;0;0;0;1;1;0;0;15;6;-2;2112
C;Cubas;Pescara;01/01/2017;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2113
A;Petkovic;Bologna;01/01/2017;5.6;5.55;4;1.3875;1.4;0;0;0;0;0;0;0;1;0;0;12;3;1;2114
C;Farago';Cagliari;01/01/2017;5.79;5.71;4;1.4275;1.4475;0;0;0;0;0;0;0;1;0;0;9;4;0;2116
C;Kastanos;Pescara;01/01/2017;5.5;5.43;2;2.715;2.75;0;0;0;0;0;0;0;1;0;0;8;1;1;2117
D;Sunjic;Palermo;01/01/2017;5.38;5.25;4;1.3125;1.345;0;0;0;0;0;0;0;1;0;0;7;2;2;2118
A;Deulofeu;Milan;01/01/2017;6.32;7.03;8;0.87875;0.79;4;0;0;0;0;0;2;4;0;0;17;12;-4;2119
D;Bastoni;Atalanta;01/01/2017;6;6;2;3;3;0;0;0;0;0;0;0;0;0;0;3;2;0;2120
C;Melegoni;Atalanta;01/01/2017;6;6;2;3;3;0;0;0;0;0;0;0;0;0;0;1;1;1;2121
C;Muntari;Pescara;01/01/2017;5.33;5.33;5;1.066;1.066;1;0;0;0;0;0;0;4;1;0;9;4;1;2123
C;Zajc;Empoli;01/01/2017;6.33;7.67;3;2.556666667;2.11;1;0;0;0;0;0;1;0;0;0;5;4;-1;2124
C;Grenier;Roma;01/01/2017;6.2;6.3;8;0.7875;0.775;0;0;0;0;0;0;1;1;0;0;6;6;2;2126
P;Satalino;Fiorentina;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2127
D;Sainsbury;Inter;01/01/2017;6;5.5;1;5.5;6;0;0;0;0;0;0;0;1;0;0;1;1;0;2128
D;Simic L;Sampdoria;01/01/2017;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2129
D;Hateboer;Atalanta;01/01/2017;6.17;6.17;3;2.056666667;2.056666667;0;0;0;0;0;0;1;2;0;0;6;1;2;2130
A;Ranegie;Udinese;01/01/2017;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2131
C;Kotnik;Crotone;01/01/2017;5.5;5.5;3;1.833333333;1.833333333;0;0;0;0;0;0;0;0;0;0;2;1;2;2132
C;Valencia Jm;Bologna;01/01/2017;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2133
P;Falcone;Sampdoria;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2134
A;Scamacca;Sassuolo;01/01/2017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2137
C;Depaoli;Chievo;01/01/2017;5.9;5.8;1;5.8;5.9;0;0;0;0;0;0;1;1;1;0;6;2;-1;2141
C;Coulibaly M.;Pescara;01/01/2017;5.69;5.44;1;5.44;5.69;0;0;0;0;0;0;0;4;0;0;9;1;0;2144
A;Han;Cagliari;01/01/2017;6.17;7.17;1;7.17;6.17;1;0;0;0;0;0;0;0;0;0;5;2;-1;2146
P;Crosta;Cagliari;01/01/2017;7.5;9.5;1;9.5;7.5;0;1;1;0;0;0;0;0;0;0;1;1;0;2156
P;Sportiello;Fiorentina;01/01/2018;6.05;5.08;10;0.508;0.605;0;38;1;0;0;0;0;0;1;0;37;12;-2;4
D;Conti;Milan;01/01/2018;6.25;6.25;13;0.480769231;0.480769231;0;0;0;0;0;0;0;0;0;0;2;3;10;11
D;Drame';SPAL;01/01/2018;5.5;5.5;1;5.5;5.5;0;0;0;0;0;0;0;0;0;0;5;1;0;13
D;Masiello;Atalanta;01/01/2018;6.29;6.6;10;0.66;0.629;4;0;0;0;0;0;0;5;0;0;31;14;-4;15
C;Cigarini;Cagliari;01/01/2018;5.87;5.83;7;0.832857143;0.838571429;2;0;0;1;0;1;3;12;1;0;26;6;1;20
C;De Roon;Atalanta;01/01/2018;6.02;6.11;9;0.678888889;0.668888889;2;0;0;2;1;1;2;8;1;0;34;10;-1;22
A;Gomez;Atalanta;01/01/2018;6.29;6.98;26;0.268461538;0.241923077;4;0;0;3;2;1;9;2;0;0;33;25;1;26
C;Grassi;SPAL;01/01/2018;6.07;6.34;6;1.056666667;1.011666667;3;0;0;0;0;0;0;3;0;0;28;12;-6;27
C;Kurtic;SPAL;01/01/2018;5.72;5.91;10;0.591;0.572;3;0;0;0;0;0;0;7;0;0;30;8;2;28
P;Da Costa;Bologna;01/01/2018;6.25;5;1;5;6.25;0;5;0;0;0;0;0;0;0;0;4;2;-1;40
P;Mirante;Bologna;01/01/2018;6.15;4.62;8;0.5775;0.76875;0;46;0;0;0;0;0;5;0;1;33;9;-1;41
D;Ferrari A.;Verona;01/01/2018;5.5;5.52;6;0.92;0.916666667;1;0;0;0;0;0;0;5;0;0;25;5;1;45
D;Masina;Bologna;01/01/2018;5.65;5.53;7;0.79;0.807142857;0;0;0;0;0;0;1;8;1;0;34;6;1;49
D;Mbaye;Bologna;01/01/2018;5.77;5.71;4;1.4275;1.4425;1;0;0;0;0;0;0;3;1;1;25;5;-1;50
D;Rossettini;Genoa;01/01/2018;5.83;5.67;6;0.945;0.971666667;0;0;0;0;0;0;0;7;0;0;23;5;1;54
C;Crisetig;Bologna;01/01/2018;5.88;5.62;3;1.873333333;1.96;0;0;0;0;0;0;0;4;0;0;8;2;1;57
C;Diawara;Napoli;01/01/2018;6.07;6.33;7;0.904285714;0.867142857;1;0;0;0;0;0;1;1;0;0;18;5;2;58
C;Rizzo;Atalanta;01/01/2018;5.95;6.55;5;1.31;1.19;2;0;0;0;0;0;0;0;0;0;11;3;2;60
C;Zuculini F;Verona;01/01/2018;6;5.93;3;1.976666667;2;0;0;0;0;0;0;0;1;0;0;11;4;-1;61
D;Letizia;Benevento;01/01/2018;5.7;5.68;6;0.946666667;0.95;1;0;0;0;0;0;0;5;1;0;29;6;0;74
D;Romagnoli S.;Bologna;01/01/2018;5.88;5.81;2;2.905;2.94;0;0;0;0;0;0;0;1;0;0;8;4;-2;76
D;Spolli;Genoa;01/01/2018;6.14;5.98;4;1.495;1.535;0;0;0;0;0;0;0;7;0;0;21;7;-3;78
A;Lasagna;Udinese;01/01/2018;6.12;7.38;12;0.615;0.51;12;0;0;0;0;0;1;1;0;0;29;18;-6;90
A;Matos;Verona;01/01/2018;5.56;5.53;3;1.843333333;1.853333333;0;0;0;0;0;0;0;1;0;0;18;3;0;92
P;Bizzarri;Udinese;01/01/2018;6.06;4.59;1;4.59;6.06;0;52;2;0;0;0;0;0;1;0;32;8;-7;95
P;Seculin;Chievo;01/01/2018;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;97
D;Cacciatore;Chievo;01/01/2018;5.82;5.98;6;0.996666667;0.97;2;0;0;0;0;0;3;5;1;0;33;7;-1;99
D;Cesar;Chievo;01/01/2018;5.67;5.17;5;1.034;1.134;0;0;0;0;0;0;0;1;0;2;10;1;4;100
D;Dainelli;Chievo;01/01/2018;6.03;5.92;4;1.48;1.5075;0;0;0;0;0;0;0;4;0;0;21;7;-3;101
D;Gamberini;Chievo;01/01/2018;5.76;5.72;7;0.817142857;0.822857143;0;0;0;0;0;0;0;2;0;0;23;4;3;104
D;Gobbi;Chievo;01/01/2018;5.73;5.75;6;0.958333333;0.955;0;0;0;0;0;0;2;3;0;0;24;7;-1;105
D;Mattiello;SPAL;01/01/2018;5.83;5.67;4;1.4175;1.4575;0;0;0;0;0;0;0;6;1;0;29;6;-2;106
C;Birsa;Chievo;01/01/2018;5.94;6.37;13;0.49;0.456923077;3;0;0;0;0;0;7;3;0;0;35;13;0;111
C;Castro;Chievo;01/01/2018;6.06;6.48;11;0.589090909;0.550909091;3;0;0;0;0;0;3;3;0;0;25;10;1;112
C;Hetemaj;Chievo;01/01/2018;5.94;6.08;6;1.013333333;0.99;3;0;0;0;0;0;2;9;0;1;32;10;-4;115
C;Izco;Crotone;01/01/2018;5.17;5.17;3;1.723333333;1.723333333;0;0;0;0;0;0;0;0;0;0;5;1;2;116
